"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B01001_001E","B01001_001EA","B01001_001M","B01001_001MA","B01001_002E","B01001_002M","B01001_002MA","B01001_002EA","B01001_003E","B01001_003EA","B01001_003M","B01001_003MA","B01001_004E","B01001_004M","B01001_004MA","B01001_004EA","B01001_005E","B01001_005EA","B01001_005M","B01001_005MA","B01001_006E","B01001_006M","B01001_006MA","B01001_006EA","B01001_007E","B01001_007EA","B01001_007M","B01001_007MA","B01001_008E","B01001_008EA","B01001_008M","B01001_008MA","B01001_009E","B01001_009M","B01001_009MA","B01001_009EA","B01001_010E","B01001_010EA","B01001_010M","B01001_010MA","B01001_011E","B01001_011EA","B01001_011M","B01001_011MA","B01001_012E","B01001_012EA","B01001_012M","B01001_012MA","B01001_013E","B01001_013EA","B01001_013M","B01001_013MA","B01001_014E","B01001_014EA","B01001_014M","B01001_014MA","B01001_015E","B01001_015M","B01001_015MA","B01001_015EA","B01001_016E","B01001_016EA","B01001_016M","B01001_016MA","B01001_017E","B01001_017M","B01001_017MA","B01001_017EA","B01001_018E","B01001_018M","B01001_018MA","B01001_018EA","B01001_019E","B01001_019EA","B01001_019M","B01001_019MA","B01001_020E","B01001_020M","B01001_020MA","B01001_020EA","B01001_021E","B01001_021M","B01001_021MA","B01001_021EA","B01001_022E","B01001_022EA","B01001_022M","B01001_022MA","B01001_023E","B01001_023M","B01001_023MA","B01001_023EA","B01001_024E","B01001_024M","B01001_024MA","B01001_024EA","B01001_025E","B01001_025M","B01001_025MA","B01001_025EA","B01001_026E","B01001_026M","B01001_026MA","B01001_026EA","B01001_027E","B01001_027EA","B01001_027M","B01001_027MA","B01001_028E","B01001_028EA","B01001_028M","B01001_028MA","B01001_029E","B01001_029M","B01001_029MA","B01001_029EA","B01001_030E","B01001_030EA","B01001_030M","B01001_030MA","B01001_031E","B01001_031EA","B01001_031M","B01001_031MA","B01001_032E","B01001_032M","B01001_032MA","B01001_032EA","B01001_033E","B01001_033M","B01001_033MA","B01001_033EA","B01001_034E","B01001_034M","B01001_034MA","B01001_034EA","B01001_035E","B01001_035M","B01001_035MA","B01001_035EA","B01001_036E","B01001_036EA","B01001_036M","B01001_036MA","B01001_037E","B01001_037EA","B01001_037M","B01001_037MA","B01001_038E","B01001_038EA","B01001_038M","B01001_038MA","B01001_039E","B01001_039M","B01001_039MA","B01001_039EA","B01001_040E","B01001_040EA","B01001_040M","B01001_040MA","B01001_041E","B01001_041EA","B01001_041M","B01001_041MA","B01001_042E","B01001_042M","B01001_042MA","B01001_042EA","B01001_043E","B01001_043EA","B01001_043M","B01001_043MA","B01001_044E","B01001_044M","B01001_044MA","B01001_044EA","B01001_045E","B01001_045EA","B01001_045M","B01001_045MA","B01001_046E","B01001_046EA","B01001_046M","B01001_046MA","B01001_047E","B01001_047M","B01001_047MA","B01001_047EA","B01001_048E","B01001_048M","B01001_048MA","B01001_048EA","B01001_049E","B01001_049EA","B01001_049M","B01001_049MA",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Annotation of Margin of Error!!Total:!!Male:","Annotation of Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Annotation of Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Annotation of Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Annotation of Margin of Error!!Total:!!Male:!!5 to 9 years","Annotation of Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Annotation of Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Annotation of Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Annotation of Margin of Error!!Total:!!Male:!!15 to 17 years","Annotation of Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Annotation of Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Annotation of Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Annotation of Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Annotation of Margin of Error!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Annotation of Margin of Error!!Total:!!Male:!!21 years","Annotation of Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Annotation of Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Annotation of Margin of Error!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Annotation of Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Annotation of Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Annotation of Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Annotation of Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Annotation of Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Annotation of Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Annotation of Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Annotation of Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Annotation of Margin of Error!!Total:!!Male:!!45 to 49 years","Annotation of Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Annotation of Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Annotation of Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Annotation of Margin of Error!!Total:!!Male:!!55 to 59 years","Annotation of Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Annotation of Margin of Error!!Total:!!Male:!!60 and 61 years","Annotation of Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Annotation of Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Annotation of Margin of Error!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Annotation of Margin of Error!!Total:!!Male:!!65 and 66 years","Annotation of Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Annotation of Margin of Error!!Total:!!Male:!!67 to 69 years","Annotation of Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Annotation of Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Annotation of Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Annotation of Margin of Error!!Total:!!Male:!!75 to 79 years","Annotation of Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Annotation of Margin of Error!!Total:!!Male:!!80 to 84 years","Annotation of Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Annotation of Margin of Error!!Total:!!Male:!!85 years and over","Annotation of Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Annotation of Margin of Error!!Total:!!Female:","Annotation of Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Annotation of Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Annotation of Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Annotation of Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Annotation of Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Annotation of Margin of Error!!Total:!!Female:!!10 to 14 years","Annotation of Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Annotation of Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Annotation of Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Annotation of Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Annotation of Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Annotation of Margin of Error!!Total:!!Female:!!20 years","Annotation of Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Annotation of Margin of Error!!Total:!!Female:!!21 years","Annotation of Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Annotation of Margin of Error!!Total:!!Female:!!22 to 24 years","Annotation of Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Annotation of Margin of Error!!Total:!!Female:!!25 to 29 years","Annotation of Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Annotation of Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Annotation of Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Annotation of Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Annotation of Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Annotation of Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Annotation of Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Annotation of Margin of Error!!Total:!!Female:!!45 to 49 years","Annotation of Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Annotation of Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Annotation of Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Annotation of Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Annotation of Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Annotation of Margin of Error!!Total:!!Female:!!60 and 61 years","Annotation of Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Annotation of Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Annotation of Margin of Error!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Annotation of Margin of Error!!Total:!!Female:!!65 and 66 years","Annotation of Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Annotation of Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Annotation of Margin of Error!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Annotation of Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Annotation of Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Annotation of Margin of Error!!Total:!!Female:!!75 to 79 years","Annotation of Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Annotation of Margin of Error!!Total:!!Female:!!80 to 84 years","Annotation of Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Annotation of Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over","Annotation of Margin of Error!!Total:!!Female:!!85 years and over",
"0500000US34001","Atlantic County, New Jersey","032","Asian Indian alone or in any combination","7014","null","1097","null","3748","633","null","null","259","null","142","null","166","106","null","null","267","null","126","null","123","60","null","null","58","null","56","null","29","null","41","null","88","80","null","null","150","null","122","null","133","null","91","null","237","null","153","null","251","null","112","null","248","null","101","null","195","111","null","null","338","null","172","null","239","121","null","null","142","77","null","null","83","null","80","null","68","55","null","null","137","85","null","null","230","null","98","null","255","108","null","null","23","31","null","null","29","29","null","null","3266","549","null","null","210","null","115","null","217","null","100","null","230","123","null","null","156","null","113","null","111","null","84","null","19","29","null","null","71","64","null","null","128","122","null","null","196","101","null","null","151","null","99","null","151","null","74","null","278","null","121","null","230","137","null","null","239","null","125","null","129","null","91","null","108","78","null","null","52","null","54","null","111","79","null","null","267","null","154","null","37","null","28","null","137","98","null","null","21","34","null","null","17","null","27","null",
"0500000US34003","Bergen County, New Jersey","013","Asian Indian alone","35041","null","2392","null","17407","1242","null","null","1362","null","304","null","984","224","null","null","1203","null","274","null","681","174","null","null","382","null","126","null","288","null","140","null","103","68","null","null","384","null","182","null","779","null","226","null","1609","null","316","null","1968","null","387","null","1832","null","297","null","1112","202","null","null","1088","null","225","null","1186","237","null","null","214","132","null","null","386","null","138","null","280","120","null","null","433","181","null","null","636","null","138","null","165","80","null","null","179","101","null","null","153","98","null","null","17634","1303","null","null","1604","null","333","null","1261","null","263","null","1025","277","null","null","437","null","133","null","220","null","78","null","80","57","null","null","166","101","null","null","545","202","null","null","956","187","null","null","1978","null","306","null","2117","null","332","null","1479","null","256","null","895","197","null","null","1292","null","268","null","1083","null","282","null","338","118","null","null","368","null","140","null","326","131","null","null","449","null","153","null","427","null","172","null","308","179","null","null","165","96","null","null","115","null","74","null",
"0500000US34003","Bergen County, New Jersey","016","Chinese alone","22235","null","1635","null","10720","926","null","null","441","null","161","null","689","225","null","null","664","null","211","null","421","162","null","null","96","null","54","null","35","null","37","null","61","43","null","null","356","null","199","null","466","null","109","null","923","null","230","null","903","null","219","null","906","null","238","null","964","223","null","null","749","null","207","null","651","171","null","null","273","110","null","null","464","null","179","null","248","105","null","null","243","89","null","null","579","null","169","null","96","65","null","null","238","117","null","null","254","173","null","null","11515","980","null","null","336","null","127","null","449","null","168","null","555","145","null","null","274","null","117","null","265","null","115","null","36","37","null","null","36","30","null","null","358","159","null","null","789","178","null","null","973","null","226","null","914","null","219","null","1007","null","201","null","1118","227","null","null","819","null","183","null","651","null","270","null","355","120","null","null","485","null","145","null","280","97","null","null","432","null","147","null","683","null","220","null","239","106","null","null","106","58","null","null","355","null","231","null",
"0500000US34003","Bergen County, New Jersey","017","Chinese, except Taiwanese alone","21222","null","1561","null","10149","909","null","null","415","null","160","null","677","223","null","null","600","null","193","null","405","153","null","null","96","null","54","null","35","null","37","null","61","43","null","null","344","null","190","null","466","null","109","null","898","null","232","null","854","null","222","null","794","null","216","null","894","213","null","null","728","null","206","null","630","168","null","null","273","110","null","null","422","null","172","null","239","103","null","null","235","89","null","null","508","null","152","null","96","65","null","null","225","117","null","null","254","173","null","null","11073","938","null","null","329","null","126","null","444","null","169","null","512","136","null","null","274","null","117","null","265","null","115","null","36","37","null","null","36","30","null","null","346","160","null","null","784","178","null","null","936","null","219","null","895","null","215","null","961","null","200","null","1072","222","null","null","796","null","182","null","642","null","271","null","319","109","null","null","458","null","138","null","258","93","null","null","415","null","144","null","603","null","199","null","239","106","null","null","106","58","null","null","347","null","230","null",
"0500000US34003","Bergen County, New Jersey","019","Filipino alone","24488","null","1973","null","11187","1058","null","null","512","null","187","null","454","157","null","null","486","null","151","null","342","155","null","null","262","null","105","null","265","null","141","null","138","71","null","null","897","null","275","null","758","null","240","null","706","null","175","null","526","null","173","null","721","null","193","null","937","191","null","null","766","null","191","null","787","240","null","null","600","294","null","null","401","null","166","null","188","92","null","null","486","184","null","null","239","null","116","null","272","133","null","null","290","191","null","null","154","104","null","null","13301","1153","null","null","176","null","81","null","391","null","137","null","687","141","null","null","441","null","169","null","358","null","124","null","46","41","null","null","436","193","null","null","449","164","null","null","645","185","null","null","742","null","194","null","1065","null","283","null","749","null","155","null","1026","203","null","null","1182","null","218","null","1157","null","267","null","573","198","null","null","553","null","209","null","431","202","null","null","396","null","118","null","681","null","173","null","562","286","null","null","436","271","null","null","119","null","79","null",
"0500000US34003","Bergen County, New Jersey","023","Korean alone","60909","null","2457","null","29014","1302","null","null","1434","null","270","null","1556","224","null","null","1987","null","300","null","964","257","null","null","565","null","139","null","161","null","78","null","235","120","null","null","724","null","199","null","1847","null","272","null","1557","null","285","null","2286","null","423","null","2355","null","329","null","2946","281","null","null","2502","null","298","null","2280","286","null","null","786","225","null","null","937","null","231","null","686","239","null","null","433","139","null","null","969","null","285","null","871","212","null","null","566","197","null","null","367","187","null","null","31895","1449","null","null","1107","null","214","null","1821","null","330","null","1579","402","null","null","1256","null","234","null","434","null","152","null","200","162","null","null","98","80","null","null","1076","254","null","null","1640","282","null","null","1880","null","357","null","2935","null","410","null","2333","null","291","null","3352","292","null","null","2606","null","327","null","2934","null","441","null","1011","219","null","null","1151","null","279","null","467","218","null","null","653","null","281","null","1122","null","248","null","1042","252","null","null","674","232","null","null","524","null","163","null",
"0500000US34003","Bergen County, New Jersey","032","Asian Indian alone or in any combination","37248","null","2475","null","18581","1313","null","null","1545","null","294","null","1192","234","null","null","1413","null","301","null","781","197","null","null","382","null","126","null","360","null","158","null","103","68","null","null","428","null","196","null","865","null","227","null","1655","null","320","null","2007","null","385","null","1872","null","299","null","1143","205","null","null","1088","null","225","null","1186","237","null","null","264","159","null","null","397","null","139","null","298","122","null","null","452","188","null","null","643","null","137","null","175","84","null","null","179","101","null","null","153","98","null","null","18667","1319","null","null","1780","null","340","null","1433","null","273","null","1189","284","null","null","473","null","143","null","220","null","78","null","80","57","null","null","166","101","null","null","629","225","null","null","1065","182","null","null","2007","null","308","null","2143","null","326","null","1581","null","261","null","913","198","null","null","1345","null","284","null","1083","null","282","null","357","120","null","null","368","null","140","null","339","135","null","null","449","null","153","null","450","null","177","null","317","187","null","null","165","96","null","null","115","null","74","null",
"0500000US34003","Bergen County, New Jersey","035","Chinese alone or in any combination","26119","null","1786","null","12649","1018","null","null","797","null","192","null","1051","246","null","null","1134","null","319","null","552","201","null","null","116","null","61","null","56","null","47","null","61","43","null","null","401","null","203","null","523","null","118","null","1005","null","249","null","1013","null","228","null","1031","null","260","null","998","224","null","null","759","null","208","null","675","173","null","null","273","110","null","null","475","null","181","null","248","105","null","null","277","111","null","null","596","null","168","null","96","65","null","null","249","121","null","null","263","173","null","null","13470","1060","null","null","875","null","182","null","769","null","213","null","874","249","null","null","347","null","119","null","310","null","130","null","63","45","null","null","48","35","null","null","449","173","null","null","885","201","null","null","1089","null","233","null","978","null","225","null","1061","null","210","null","1145","221","null","null","837","null","187","null","687","null","271","null","400","130","null","null","499","null","144","null","280","97","null","null","432","null","147","null","688","null","221","null","273","117","null","null","126","59","null","null","355","null","231","null",
"0500000US34003","Bergen County, New Jersey","036","Chinese, except Taiwanese alone or in any combination","25148","null","1736","null","12114","992","null","null","742","null","190","null","1030","246","null","null","1089","null","317","null","536","192","null","null","116","null","61","null","56","null","47","null","61","43","null","null","389","null","194","null","523","null","118","null","992","null","252","null","964","null","227","null","919","null","233","null","928","216","null","null","738","null","207","null","654","169","null","null","273","110","null","null","433","null","174","null","239","103","null","null","269","114","null","null","568","null","168","null","96","65","null","null","236","120","null","null","263","173","null","null","13034","1041","null","null","868","null","182","null","750","null","218","null","863","247","null","null","347","null","119","null","310","null","130","null","63","45","null","null","48","35","null","null","437","174","null","null","880","201","null","null","1040","null","227","null","959","null","222","null","1015","null","208","null","1099","216","null","null","814","null","186","null","678","null","272","null","364","119","null","null","472","null","137","null","258","93","null","null","415","null","144","null","608","null","200","null","273","117","null","null","126","59","null","null","347","null","230","null",
