X,Y,OBJECTID,COUNTY,DESCRIPTION_BSL,DIRECTION_OP,DLAT_GIS,DLONG_GIS,LINE,MUNICIPALITY,STOP_NUM,STOP_TYPE,STREET_DIR,HEADING
-8286508.2225,4773027.7746,1,Atlantic,ATLANTIC AVE AT MISSISSIPPI AVE,Ou,39.35762,-74.43897,505,ATLANTIC CITY,10065,FS,E,62
-8286508.2225,4773027.7746,2,Atlantic,ATLANTIC AVE AT MISSISSIPPI AVE,Ou,39.35762,-74.43897,507,ATLANTIC CITY,10065,FS,E,62
-8286508.2225,4773027.7746,3,Atlantic,ATLANTIC AVE AT MISSISSIPPI AVE,Ou,39.35762,-74.43897,508,ATLANTIC CITY,10065,FS,E,62
-8286508.2225,4773027.7746,4,Atlantic,ATLANTIC AVE AT MISSISSIPPI AVE,Ou,39.35762,-74.43897,509,ATLANTIC CITY,10065,FS,E,62
-8286252.99,4773172.2917,5,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,502,ATLANTIC CITY,10066,FS,E,56
-8286252.99,4773172.2917,6,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,504,ATLANTIC CITY,10066,FS,E,56
-8286252.99,4773172.2917,7,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,505,ATLANTIC CITY,10066,FS,E,56
-8286252.99,4773172.2917,8,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,507,ATLANTIC CITY,10066,FS,E,56
-8286252.99,4773172.2917,9,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,508,ATLANTIC CITY,10066,FS,E,56
-8286252.99,4773172.2917,10,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,509,ATLANTIC CITY,10066,FS,E,56
-8285948.0584,4773319.0247,11,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,501,ATLANTIC CITY,10067,NS,E,61
-8285948.0584,4773319.0247,12,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,502,ATLANTIC CITY,10067,NS,E,61
-8285948.0584,4773319.0247,13,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,504,ATLANTIC CITY,10067,NS,E,61
-8285948.0584,4773319.0247,14,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,505,ATLANTIC CITY,10067,NS,E,61
-8285948.0584,4773319.0247,15,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,507,ATLANTIC CITY,10067,NS,E,61
-8285948.0584,4773319.0247,16,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,508,ATLANTIC CITY,10067,NS,E,61
-8285948.0584,4773319.0247,17,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,509,ATLANTIC CITY,10067,NS,E,61
-8285671.5852,4773466.2913,18,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,501,ATLANTIC CITY,10068,FS,E,62
-8285671.5852,4773466.2913,19,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,502,ATLANTIC CITY,10068,FS,E,62
-8285671.5852,4773466.2913,20,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,504,ATLANTIC CITY,10068,FS,E,62
-8285671.5852,4773466.2913,21,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,505,ATLANTIC CITY,10068,FS,E,62
-8285671.5852,4773466.2913,22,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,507,ATLANTIC CITY,10068,FS,E,62
-8285671.5852,4773466.2913,23,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,508,ATLANTIC CITY,10068,FS,E,62
-8285671.5852,4773466.2913,24,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,Ou,39.36063,-74.43143,509,ATLANTIC CITY,10068,FS,E,62
-8285527.8966,4773541.0894,25,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,501,ATLANTIC CITY,10069,FS,E,62
-8285527.8966,4773541.0894,26,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,502,ATLANTIC CITY,10069,FS,E,62
-8285527.8966,4773541.0894,27,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,504,ATLANTIC CITY,10069,FS,E,62
-8285527.8966,4773541.0894,28,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,505,ATLANTIC CITY,10069,FS,E,62
-8285527.8966,4773541.0894,29,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,507,ATLANTIC CITY,10069,FS,E,62
-8285527.8966,4773541.0894,30,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,508,ATLANTIC CITY,10069,FS,E,62
-8285527.8966,4773541.0894,31,Atlantic,ATLANTIC AVE AT KENTUCKY AVE,Ou,39.36118,-74.43016,509,ATLANTIC CITY,10069,FS,E,62
-8285391.2951,4773615.6007,32,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,501,ATLANTIC CITY,10070,FS,E,61
-8285391.2951,4773615.6007,33,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,502,ATLANTIC CITY,10070,FS,E,61
-8285391.2951,4773615.6007,34,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,504,ATLANTIC CITY,10070,FS,E,61
-8285391.2951,4773615.6007,35,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,505,ATLANTIC CITY,10070,FS,E,61
-8285391.2951,4773615.6007,36,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,507,ATLANTIC CITY,10070,FS,E,61
-8285391.2951,4773615.6007,37,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,508,ATLANTIC CITY,10070,FS,E,61
-8285391.2951,4773615.6007,38,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,509,ATLANTIC CITY,10070,FS,E,61
-8285391.2951,4773615.6007,39,Atlantic,ATLANTIC AVE AT NEW YORK AVE,Ou,39.36168,-74.42892,513,ATLANTIC CITY,10070,FS,E,61
-8285114.9238,4773766.9044,40,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,Ou,39.3627,-74.42642,505,ATLANTIC CITY,10072,FS,E,64
-8284839.9638,4773906.9579,41,Atlantic,ATLANTIC AVE AT PENNSYLVANIA AVE,Ou,39.36369,-74.42396,505,ATLANTIC CITY,10073,FS,E,63
-8284692.9397,4773981.6379,42,Atlantic,ATLANTIC AVE AT VIRGINIA AVE,Ou,39.36421,-74.42264,505,ATLANTIC CITY,10074,FS,E,63
-8284557.2847,4774055.1743,43,Atlantic,ATLANTIC AVE AT MARYLAND AVE,Ou,39.36472,-74.42142,505,ATLANTIC CITY,10075,FS,E,62
-8284279.9561,4774200.5935,44,Atlantic,ATLANTIC AVE AT NEW JERSEY AVE,Ou,39.36573,-74.41893,505,ATLANTIC CITY,10076,FS,E,63
-8283991.9377,4774348.7504,45,Atlantic,ATLANTIC AVE AT MASSACHUSETTS AVE,Ou,39.36677,-74.41635,505,ATLANTIC CITY,10077,FS,E,63
-8283717.808,4774489.149,46,Atlantic,ATLANTIC AVE AT VERMONT AVE,Ou,39.36778,-74.41391,505,ATLANTIC CITY,10078,FS,E,63
-8283790.7854,4774478.8566,47,Atlantic,ATLANTIC AVE AT VERMONT AVE,In,39.3677,-74.41456,505,ATLANTIC CITY,10079,FS,W,244
-8284077.9405,4774331.0169,48,Atlantic,ATLANTIC AVE AT MASSACHUSETTS AVE,In,39.36663,-74.41711,505,ATLANTIC CITY,10080,FS,W,242
-8284364.9779,4774183.2095,49,Atlantic,ATLANTIC AVE AT NEW JERSEY AVE,In,39.36562,-74.4197,505,ATLANTIC CITY,10081,FS,W,242
-8284641.1525,4774036.3072,50,Atlantic,ATLANTIC AVE AT MARYLAND AVE,In,39.3646,-74.42218,505,ATLANTIC CITY,10082,FS,W,241
-8284776.1344,4773965.952,51,Atlantic,ATLANTIC AVE AT VIRGINIA AVE,In,39.36412,-74.4234,505,ATLANTIC CITY,10083,FS,W,243
-8284923.704,4773890.8457,52,Atlantic,ATLANTIC AVE AT PENNSYLVANIA AVE,In,39.36359,-74.42472,505,ATLANTIC CITY,10084,FS,W,243
-8285142.9606,4773779.1385,53,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,501,ATLANTIC CITY,10085,NS,W,243
-8285142.9606,4773779.1385,54,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,502,ATLANTIC CITY,10085,NS,W,243
-8285142.9606,4773779.1385,55,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,504,ATLANTIC CITY,10085,NS,W,243
-8285142.9606,4773779.1385,56,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,505,ATLANTIC CITY,10085,NS,W,243
-8285142.9606,4773779.1385,57,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,507,ATLANTIC CITY,10085,NS,W,243
-8285142.9606,4773779.1385,58,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,508,ATLANTIC CITY,10085,NS,W,243
-8285142.9606,4773779.1385,59,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,509,ATLANTIC CITY,10085,NS,W,243
-8285142.9606,4773779.1385,60,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,In,39.3628,-74.42668,554,ATLANTIC CITY,10085,NS,W,243
-8285346.3443,4773668.1165,61,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,501,ATLANTIC CITY,10086,FS,W,241
-8285346.3443,4773668.1165,62,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,502,ATLANTIC CITY,10086,FS,W,241
-8285346.3443,4773668.1165,63,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,504,ATLANTIC CITY,10086,FS,W,241
-8285346.3443,4773668.1165,64,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,505,ATLANTIC CITY,10086,FS,W,241
-8285346.3443,4773668.1165,65,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,507,ATLANTIC CITY,10086,FS,W,241
-8285346.3443,4773668.1165,66,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,508,ATLANTIC CITY,10086,FS,W,241
-8285346.3443,4773668.1165,67,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,509,ATLANTIC CITY,10086,FS,W,241
-8285346.3443,4773668.1165,68,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,513,ATLANTIC CITY,10086,FS,W,241
-8285346.3443,4773668.1165,69,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,554,ATLANTIC CITY,10086,FS,W,241
-8285463.6563,4773602.3641,70,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,501,ATLANTIC CITY,10087,FS,W,241
-8285463.6563,4773602.3641,71,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,502,ATLANTIC CITY,10087,FS,W,241
-8285463.6563,4773602.3641,72,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,504,ATLANTIC CITY,10087,FS,W,241
-8285463.6563,4773602.3641,73,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,505,ATLANTIC CITY,10087,FS,W,241
-8285463.6563,4773602.3641,74,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,507,ATLANTIC CITY,10087,FS,W,241
-8285463.6563,4773602.3641,75,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,508,ATLANTIC CITY,10087,FS,W,241
-8285463.6563,4773602.3641,76,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,509,ATLANTIC CITY,10087,FS,W,241
-8285463.6563,4773602.3641,77,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,554,ATLANTIC CITY,10087,FS,W,241
-8285761.5304,4773445.1453,78,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,In,39.36053,-74.43227,501,ATLANTIC CITY,10089,FS,W,242
-8286879.7116,4775255.7013,79,Atlantic,HURON AVE AT PENROSE AVE,Ou,39.37305,-74.44228,505,ATLANTIC CITY,10129,NS,W,244
-8286378.7914,4774424.3939,80,Atlantic,INDIANA AVE AT REVEREND J J WALTERS AVE,Ou,39.36729,-74.43788,505,ATLANTIC CITY,10130,FS,N,332
